injury,n,median,mean,p90
Разрыв ахиллова сухожилия,20,212.0,211.4,369.1
Разрыв ПКС (ACL),25,176.0,187.7,326.0
Разрыв мениска,39,92.0,103.1,194.4
Перелом,220,46.5,84.8,229.7
Повреждение связок колена (MCL/PCL),45,44.0,75.8,162.8
Плантарный фасциит,29,27.0,63.0,145.4
Травма плеча,231,11.0,56.0,185.0
Травма паха / приводящих,189,11.0,42.2,132.2
Травма подколенного сухожилия,276,10.5,39.3,125.0
Травма икроножной мышцы,192,9.0,44.4,158.1
Сотрясение мозга,140,7.5,41.2,144.9
Растяжение голеностопа,953,7.0,31.6,103.0
Травма квадрицепса,75,7.0,39.7,126.0
Травма бедра / таза,201,6.0,26.0,83.0
Травма стопы,258,6.0,23.6,73.6
Травма колена (прочее),800,6.0,28.4,86.2
Травма кисти / пальца,211,5.0,19.3,57.0
Травма спины,430,5.0,24.8,65.7
